,CouncilDistrictCode,Latitude,Longitude,YearBuilt,NumberofFloors,ENERGYSTARScore,Enc_ComplianceStatus,mix_elec,mix_gas,mix_steam,New_PropertyGFATotal,New_SiteEUIWN(kBtu/sf),New_GHGEmissionsIntensity,Building_Campus,Building_NonResidential,Building_Nonresidential COS,Building_Nonresidential WA,Building_SPS-District K-12,Primary_Distribution Center,Primary_Hospital,Primary_Hotel,Primary_K-12 School,Primary_Laboratory,Primary_Large Office,Primary_Low-Rise Multifamily,Primary_Medical Office,Primary_Mixed Use Property,Primary_Office,Primary_Other,Primary_Refrigerated Warehouse,Primary_Residence Hall,Primary_Restaurant,Primary_Retail Store,Primary_Self-Storage Facility,Primary_Senior Care Community,Primary_Small- and Mid-Sized Office,Primary_Supermarket / Grocery Store,Primary_University,Primary_Warehouse,Primary_Worship Facility,Type_Adult Education,Type_Automobile Dealership,Type_Bank Branch,Type_College/University,Type_Distribution Center,Type_Financial Office,Type_Fire Station,Type_Fitness Center/Health Club/Gym,Type_Food Service,Type_Hospital (General Medical & Surgical),Type_Hotel,Type_K-12 School,Type_Laboratory,Type_Library,Type_Manufacturing/Industrial Plant,Type_Medical Office,Type_Movie Theater,Type_Multifamily Housing,Type_Museum,Type_Non-Refrigerated Warehouse,Type_Office,Type_Other,Type_Other - Education,Type_Other - Entertainment/Public Assembly,Type_Other - Lodging/Residential,Type_Other - Mall,Type_Other - Public Services,Type_Other - Recreation,Type_Other - Restaurant/Bar,Type_Other - Services,Type_Other - Utility,Type_Other/Specialty Hospital,Type_Parking,Type_Performing Arts,"Type_Personal Services (Health/Beauty, Dry Cleaning, etc)",Type_Pre-school/Daycare,Type_Prison/Incarceration,Type_Refrigerated Warehouse,"Type_Repair Services (Vehicle, Shoe, Locksmith, etc)",Type_Residence Hall/Dormitory,Type_Residential Care Facility,Type_Restaurant,Type_Retail Store,Type_Self-Storage Facility,Type_Senior Care Community,Type_Social/Meeting Hall,Type_Strip Mall,Type_Supermarket/Grocery Store,Type_Urgent Care/Clinic/Other Outpatient,Type_Wholesale Club/Supercenter,Type_Worship Facility,Type_Bar/Nightclub,Type_Data Center,Type_Enclosed Mall,Type_Food Sales,Type_Unknown,Type_Vocational School,Type_Fast Food Restaurant,Neighbor_BALLARD,Neighbor_CENTRAL,Neighbor_DELRIDGE,Neighbor_DOWNTOWN,Neighbor_EAST,Neighbor_GREATER DUWAMISH,Neighbor_LAKE UNION,Neighbor_MAGNOLIA / QUEEN ANNE,Neighbor_NORTH,Neighbor_NORTHEAST,Neighbor_NORTHWEST,Neighbor_SOUTHEAST,Neighbor_SOUTHWEST
22,2,47.54576,-122.26853,1961.0,2.0,95.0,1,0.6086186356674146,0.39138136433258547,0.0,58916.0,29.08587650213864,0.65,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,4,47.65959,-122.31755,2001.0,6.0,84.0,0,0.6185915020851451,0.38140849791485487,0.0,88592.0,41.46183346126061,1.02,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6547543796279574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34524562037204265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,7,47.615,-122.33081,1930.0,2.0,0.0,0,1.0,0.0,0.0,67224.0,19.4906078930144,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,7,47.61558,-122.34186,1978.0,5.0,57.0,0,0.5264751114834831,0.47352488851651686,0.0,68410.0,66.6273059494226,1.88,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015640988159626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2984359011840374,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,4,47.6641,-122.33118,1906.0,3.0,0.0,0,0.32630706815375116,0.6736929318462488,0.0,87262.0,53.903073502784714,1.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20802869519378422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46919621370126746,0.0,0.0,0.04935710847791708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27341798262703126,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,4,47.66583,-122.29965,1994.0,4.0,29.0,0,0.4523308452429367,0.5476691547570632,0.0,81871.0,82.21814195502681,2.63,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,4,47.66172,-122.29598,1955.0,2.0,0.0,0,0.8834670896612379,0.11653291033876212,0.0,110356.0,2.9560974826923774,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376400014498532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623599985501468,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,7,47.65671,-122.39047,1990.0,2.0,97.0,0,0.7378079706522351,0.2621920293477648,0.0,54986.0,32.78055095842578,0.57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,6,47.66587,-122.38476,1961.0,2.0,57.0,0,0.6937059814973375,0.3062940185026625,0.0,94900.0,68.87628556375132,1.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142676501580611,0.5857323498419389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,2,47.58034,-122.31132,1900.0,2.0,83.0,0,0.53526663054737,0.46473336945263,0.0,58878.0,53.51125208057339,1.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666904446482557,0.0,0.1333095553517443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
